"Order ID",Customer,City,Quantity,Price,"Total Sale Amount","Order ID",Customer,City,State
NJ-2016-152156,"Raymond Young",Troy,6,12.42,74.52,NULL,NULL,NULL,NULL
NJ-2016-138688,"Helen Dean",Westfield,7,17.83,86.94,NULL,NULL,NULL,NULL
WA-2015-108966,"Shirley Chavez",Seattle,2,53.35,32.64,NULL,NULL,NULL,NULL
NJ-2014-115812,"Brian Ryan",Westfield,1,53.35,12.42,NULL,NULL,NULL,NULL
NJ-2017-114412,"Benjamin Willis",Westfield,3,17.83,53.49,NULL,NULL,NULL,NULL
WA-2016-161389,"Annie Jenkins",Seattle,6,53.35,320.1,NULL,NULL,NULL,NULL
NJ-2015-118983,"Christina Little",Troy,6,53.35,320.1,NULL,NULL,NULL,NULL
WA-2014-105893,"Annie Jenkins",Seattle,9,16.32,146.88,NULL,NULL,NULL,NULL
NJ-2014-167164,"Ruby Matthews",Troy,6,17.83,106.98,NULL,NULL,NULL,NULL
NJ-2014-143336,"Christopher Oliver",Troy,8,12.42,99.36,NULL,NULL,NULL,NULL
MA-2016-137330,"Kathryn Fox",Lowell,9,12.42,111.78,NULL,NULL,NULL,NULL
OR-2017-156909,"Christopher Oliver",Portland,4,12.42,49.68,NULL,NULL,NULL,NULL
MA-2015-106320,"Walter Kennedy",Lowell,1,12.42,12.42,NULL,NULL,NULL,NULL
WA-2016-121755,"Pamela Alexander",Seattle,4,12.42,49.68,NULL,NULL,NULL,NULL
NJ-2015-150630,"Gloria Harper",Troy,8,16.32,130.56,NULL,NULL,NULL,NULL
NJ-2017-107727,"Harold Hunter",Troy,10,53.35,533.5,NULL,NULL,NULL,NULL
WA-2016-117590,"Judy Sanchez",Seattle,7,53.35,373.45,WA-2016-117590,"Judy Sanchez",Seattle,Washington
WA-2015-117415,"Harold Hunter",Seattle,4,12.42,49.68,WA-2015-117415,"Harold Hunter",Seattle,Washington
MA-2017-120999,"Lori Shaw",Lowell,7,16.32,114.24,MA-2017-120999,"Lori Shaw",Lowell,Massachusetts
NJ-2016-101343,"Sandra Hicks",Troy,1,53.35,53.35,NJ-2016-101343,"Sandra Hicks",Troy,"New York"
MA-2017-139619,"Roger Gomez",Lowell,7,16.32,114.24,MA-2017-139619,"Roger Gomez",Lowell,Massachusetts
NJ-2016-118255,"Kimberly Coleman",Westfield,1,17.83,17.83,NJ-2016-118255,"Kimberly Coleman",Westfield,"New Jersey"
NJ-2014-146703,"Heather Andrews",Troy,7,12.42,86.94,NULL,NULL,NULL,NULL
OR-2016-169194,"Rachel Harris",Portland,2,12.42,24.84,OR-2016-169194,"Rachel Harris",Portland,Oregon
WA-2015-115742,"Susan Jacobs",Seattle,9,53.35,480.15,NULL,NULL,NULL,NULL
MA-2016-105816,"Gary Young",Lowell,3,17.83,53.49,MA-2016-105816,"Gary Young",Lowell,Massachusetts
NJ-2016-111682,"Anthony Berry",Troy,9,17.83,160.47,NULL,NULL,NULL,NULL
CA-2015-135545,"Joan Robinson","Los Angeles",2,12.42,24.84,CA-2015-135545,"Joan Robinson","Los Angeles",California
NJ-2015-164175,"Frank Ramos",Troy,1,16.32,16.32,NULL,NULL,NULL,NULL
OR-2014-106376,"Raymond Matthews",Portland,1,12.42,12.42,OR-2014-106376,"Raymond Matthews",Portland,Oregon
CA-2016-119823,"Mary Rose","Los Angeles",10,17.83,178.3,CA-2016-119823,"Mary Rose","Los Angeles",California
WA-2016-106075,"Raymond Matthews",Seattle,9,17.83,160.47,WA-2016-106075,"Raymond Matthews",Seattle,Washington
NJ-2017-114440,"Randy Willis",Westfield,3,17.83,53.49,NJ-2017-114440,"Randy Willis",Westfield,"New Jersey"
WA-2015-134026,"Denise Henry",Seattle,9,53.35,480.15,NULL,NULL,NULL,NULL
NJ-2017-118038,"Albert Miller",Troy,6,12.42,74.52,NULL,NULL,NULL,NULL
CA-2014-147606,"Evelyn Elliott","Los Angeles",3,53.35,160.05,NULL,NULL,NULL,NULL
MA-2016-127208,"Mary Nelson",Lowell,8,17.83,142.64,NULL,NULL,NULL,NULL
NJ-2014-139451,"Mary Nelson",Troy,5,17.83,89.15,NULL,NULL,NULL,NULL
NJ-2015-149734,"Victor Bell",Westfield,3,16.32,48.96,NULL,NULL,NULL,NULL
MA-2017-119662,"Walter Kennedy",Lowell,2,12.42,24.84,NULL,NULL,NULL,NULL
NJ-2017-140088,"Anthony Berry",Troy,6,16.32,97.92,NJ-2017-140088,"Anthony Berry",Troy,"New York"
MA-2017-155558,"William Payne",Lowell,1,12.42,12.42,NULL,NULL,NULL,NULL
WA-2016-159695,"Joseph Dixon",Seattle,6,53.35,320.1,NULL,NULL,NULL,NULL
CA-2016-109806,"Andrew Adams","Los Angeles",1,17.83,17.83,NULL,NULL,NULL,NULL
CT-2015-149587,"Cheryl Henderson",Fairfield,7,12.42,86.94,NULL,NULL,NULL,NULL
CT-2017-109484,"Carlos Stephens",Fairfield,1,12.42,12.42,NULL,NULL,NULL,NULL
WA-2017-161018,"Daniel Perez",Seattle,3,12.42,37.26,WA-2017-161018,"Daniel Perez",Seattle,Washington
MA-2017-157833,"Carl Howard",Lowell,9,17.83,160.47,NULL,NULL,NULL,NULL
MA-2016-149223,"Alice Davis",Lowell,9,12.42,111.78,NULL,NULL,NULL,NULL
OR-2016-158568,"Michael Cruz",Portland,2,17.83,35.66,NULL,NULL,NULL,NULL
NJ-2016-129903,"Anthony Berry",Troy,4,16.32,65.28,NJ-2016-129903,"Anthony Berry",Troy,"New York"
NJ-2015-156867,"Betty Stewart",Troy,10,12.42,124.2,NULL,NULL,NULL,NULL
CA-2017-119004,"Jacqueline Little","Los Angeles",5,12.42,62.1,NULL,NULL,NULL,NULL
OR-2015-129476,"Jacqueline Little",Portland,3,17.83,53.49,OR-2015-129476,"Jacqueline Little",Portland,Oregon
NJ-2017-146780,"Jacqueline Little",Troy,9,12.42,111.78,NULL,NULL,NULL,NULL
CT-2016-128867,"Jacqueline Little",Fairfield,7,53.35,373.45,NULL,NULL,NULL,NULL
CT-2014-115259,"Jacqueline Little",Fairfield,2,16.32,32.64,NULL,NULL,NULL,NULL
MA-2015-110457,"Jacqueline Little",Lowell,8,53.35,426.8,MA-2015-110457,"Jacqueline Little",Lowell,Massachusetts
OR-2015-136476,"Jacqueline Little",Portland,2,12.42,24.84,NULL,NULL,NULL,NULL
OR-2016-103730,"Linda Wagner",Portland,6,53.35,320.1,NULL,NULL,NULL,NULL
NJ-2014-152030,"Christina Oliver",Troy,9,16.32,146.88,NULL,NULL,NULL,NULL
NJ-2014-134614,"Joseph Ryan",Troy,6,16.32,97.92,NULL,NULL,NULL,NULL
OR-2017-107272,"Henry Stanley",Portland,5,17.83,89.15,OR-2017-107272,"Henry Stanley",Portland,Oregon
CA-2016-125969,"Diana Hamilton","Los Angeles",4,12.42,49.68,NULL,NULL,NULL,NULL
MA-2017-164147,"Kevin Torres",Lowell,10,17.83,178.3,NULL,NULL,NULL,NULL
MA-2016-145583,"Jean Torres",Lowell,8,12.42,99.36,NULL,NULL,NULL,NULL
NJ-2016-110366,"Billy Reed",Troy,5,16.32,81.6,NJ-2016-110366,"Billy Reed",Troy,"New York"
NJ-2017-106180,"Dorothy Baker",Westfield,6,16.32,97.92,NULL,NULL,NULL,NULL
MA-2017-155376,"Brandon King",Lowell,5,17.83,89.15,NULL,NULL,NULL,NULL
NJ-2015-110744,"Ralph Gomez",Troy,1,53.35,53.35,NULL,NULL,NULL,NULL
NJ-2014-110072,"Stephen Welch",Westfield,3,53.35,160.05,NJ-2014-110072,"Stephen Welch",Westfield,"New Jersey"
CA-2016-114489,"Stephen Welch","Los Angeles",1,17.83,17.83,NULL,NULL,NULL,NULL
NJ-2016-158834,"Stephen Welch",Troy,6,53.35,320.1,NULL,NULL,NULL,NULL
NJ-2015-124919,"Stephen Welch",Westfield,6,12.42,74.52,NULL,NULL,NULL,NULL
MA-2015-118948,"Stephen Welch",Lowell,9,12.42,111.78,MA-2015-118948,"Stephen Welch",Lowell,Massachusetts
OR-2014-104269,"Stephen Welch",Portland,2,12.42,24.84,NULL,NULL,NULL,NULL
NJ-2016-114104,"Stephen Welch",Troy,3,12.42,37.26,NJ-2016-114104,"Stephen Welch",Troy,"New York"
CA-2016-162733,"Stephen Welch","Los Angeles",6,16.32,97.92,CA-2016-162733,"Stephen Welch","Los Angeles",California
MA-2015-119697,"Stephen Welch",Lowell,2,12.42,24.84,NULL,NULL,NULL,NULL
MA-2016-154508,"Stephen Welch",Lowell,1,12.42,12.42,MA-2016-154508,"Stephen Welch",Lowell,Massachusetts
MA-2016-113817,"Stephen Welch",Lowell,7,53.35,373.45,MA-2016-113817,"Stephen Welch",Lowell,Massachusetts
MA-2014-139892,"Stephen Welch",Lowell,1,12.42,12.42,MA-2014-139892,"Stephen Welch",Lowell,Massachusetts
MA-2014-118962,"Stephen Welch",Lowell,6,17.83,106.98,NULL,NULL,NULL,NULL
MA-2014-100853,"Stephen Welch",Lowell,4,17.83,71.32,NULL,NULL,NULL,NULL
NJ-2017-152366,"Stephen Welch",Troy,1,12.42,12.42,NULL,NULL,NULL,NULL
MA-2015-101511,"Stephen Welch",Lowell,8,12.42,99.36,MA-2015-101511,"Stephen Welch",Lowell,Massachusetts
CA-2015-137225,"Gerald Mcdonald","Los Angeles",3,17.83,53.49,NULL,NULL,NULL,NULL
WA-2014-166191,"Ruth Kennedy",Seattle,9,53.35,480.15,NULL,NULL,NULL,NULL
OR-2014-158274,"Anna Garcia",Portland,4,12.42,49.68,NULL,NULL,NULL,NULL
OR-2016-105018,"Gloria Mcdonald",Portland,1,12.42,12.42,NULL,NULL,NULL,NULL
CA-2014-123260,"Adam Martin","Los Angeles",8,12.42,99.36,NULL,NULL,NULL,NULL
WA-2016-157000,"Philip Rodriguez",Seattle,4,17.83,71.32,WA-2016-157000,"Philip Rodriguez",Seattle,Washington
MA-2015-102281,"Steven Kelly",Lowell,7,12.42,86.94,NULL,NULL,NULL,NULL
NJ-2015-131457,"Ruth Burton",Westfield,6,12.42,74.52,NULL,NULL,NULL,NULL
CA-2014-140004,"Rachel Stanley","Los Angeles",3,12.42,37.26,NULL,NULL,NULL,NULL
CA-2017-107720,"Brenda Nelson","Los Angeles",8,17.83,142.64,NULL,NULL,NULL,NULL
OR-2017-124303,"Edward Taylor",Portland,4,12.42,49.68,NULL,NULL,NULL,NULL
WA-2017-105074,"Philip Dean",Seattle,3,17.83,53.49,WA-2017-105074,"Philip Dean",Seattle,Washington
MA-2014-133690,"Jerry Butler",Lowell,7,53.35,373.45,NULL,NULL,NULL,NULL
CA-2017-116701,"Laura Gutierrez","Los Angeles",7,53.35,373.45,NULL,NULL,NULL,NULL
MA-2017-126382,"Andrew Howard",Lowell,1,16.32,16.32,NULL,NULL,NULL,NULL
NJ-2017-108329,"Joe Ryan",Troy,4,16.32,65.28,NJ-2017-108329,"Joe Ryan",Troy,"New York"
MA-2017-135860,"Steven Miller",Lowell,5,17.83,89.15,NULL,NULL,NULL,NULL
NJ-2015-101007,"Christina Little",Troy,7,16.32,114.24,NULL,NULL,NULL,NULL
NV-2015-146262,"Doris Diaz","Las Vegas",4,17.83,71.32,NULL,NULL,NULL,NULL
MA-2016-130162,"Charles Ray",Lowell,10,17.83,178.3,NULL,NULL,NULL,NULL
WA-2015-169397,"Margaret James",Seattle,5,12.42,62.1,NULL,NULL,NULL,NULL
NJ-2015-163055,"Virginia Alvarez",Troy,10,53.35,533.5,NULL,NULL,NULL,NULL
CA-2015-145436,"Frank Garrett","Los Angeles",10,53.35,533.5,CA-2015-145436,"Frank Garrett","Los Angeles",California
NJ-2014-156216,"Laura Wells",Westfield,8,12.42,99.36,NULL,NULL,NULL,NULL
OR-2017-100930,"Edward Taylor",Portland,2,53.35,106.7,NULL,NULL,NULL,NULL
CT-2017-160514,"Sara Hawkins",Fairfield,8,16.32,130.56,NULL,NULL,NULL,NULL
OR-2016-157749,"Cynthia Matthews",Portland,2,12.42,24.84,NULL,NULL,NULL,NULL
OR-2014-131926,"Kelly Gomez",Portland,7,53.35,373.45,NULL,NULL,NULL,NULL
MA-2016-154739,"Raymond Young",Lowell,3,17.83,53.49,NULL,NULL,NULL,NULL
OR-2016-145625,"Billy Scott",Portland,4,16.32,65.28,OR-2016-145625,"Billy Scott",Portland,Oregon
WA-2016-146941,"Arthur James",Seattle,10,17.83,178.3,NULL,NULL,NULL,NULL
NJ-2015-159982,"Ronald Kim",Troy,5,12.42,62.1,NULL,NULL,NULL,NULL
NJ-2017-163139,"Harold Daniels",Troy,2,12.42,24.84,NULL,NULL,NULL,NULL
CA-2017-155299,"Adam Martin","Los Angeles",2,17.83,35.66,NULL,NULL,NULL,NULL
MA-2014-106992,"Phillip Young",Lowell,8,17.83,142.64,NULL,NULL,NULL,NULL
CT-2016-125318,"Lois Baker",Fairfield,5,12.42,62.1,NULL,NULL,NULL,NULL
CA-2015-155040,"Nicholas Schmidt","Los Angeles",4,16.32,65.28,NULL,NULL,NULL,NULL
NJ-2017-136826,"Martha Mills",Westfield,7,12.42,86.94,NULL,NULL,NULL,NULL
NJ-2016-111010,"Cynthia Lewis",Westfield,7,16.32,114.24,NULL,NULL,NULL,NULL
NV-2017-145366,"John Simpson","Las Vegas",5,16.32,81.6,NULL,NULL,NULL,NULL
CA-2017-163979,"Frances Parker","Los Angeles",6,17.83,106.98,NULL,NULL,NULL,NULL
NJ-2015-155334,"Kenneth Lane",Troy,9,12.42,111.78,NULL,NULL,NULL,NULL
OR-2017-118136,"Gloria Fisher",Portland,5,12.42,62.1,NULL,NULL,NULL,NULL
NJ-2017-132976,"Mark Alexander",Troy,9,12.42,111.78,NULL,NULL,NULL,NULL
NJ-2015-161991,"Evelyn Greene",Troy,6,17.83,106.98,NULL,NULL,NULL,NULL
WA-2015-130890,"Craig Thomas",Seattle,7,12.42,86.94,NULL,NULL,NULL,NULL
NJ-2015-130883,"Nancy Scott",Troy,8,53.35,426.8,NULL,NULL,NULL,NULL
NJ-2016-112697,"Johnny Fowler",Westfield,9,53.35,480.15,NULL,NULL,NULL,NULL
MA-2016-110772,"Cheryl Williamson",Lowell,5,12.42,62.1,NULL,NULL,NULL,NULL
WA-2014-111451,"Joseph Willis",Seattle,10,17.83,178.3,NULL,NULL,NULL,NULL
CA-2016-142545,"Beverly Jacobs","Los Angeles",3,12.42,37.26,NULL,NULL,NULL,NULL
NJ-2017-152380,"Benjamin Willis",Westfield,3,17.83,53.49,NULL,NULL,NULL,NULL
NV-2015-144253,"Donna Williams","Las Vegas",8,12.42,99.36,NULL,NULL,NULL,NULL
WA-2014-130960,"Ernest Hernandez",Seattle,8,16.32,130.56,NULL,NULL,NULL,NULL
NJ-2014-111003,"Benjamin Spencer",Westfield,8,53.35,426.8,NULL,NULL,NULL,NULL
NJ-2017-126774,"Kimberly Adams",Troy,9,53.35,480.15,NULL,NULL,NULL,NULL
NJ-2016-142902,"Ernest Bishop",Westfield,6,12.42,74.52,NULL,NULL,NULL,NULL
OR-2014-120887,"Kevin Garza",Portland,4,12.42,49.68,NULL,NULL,NULL,NULL
WA-2014-167850,"Jason Berry",Seattle,6,17.83,106.98,NULL,NULL,NULL,NULL
MA-2014-164259,"Martha Brown",Lowell,9,16.32,146.88,NULL,NULL,NULL,NULL
NJ-2014-164973,"Russell Day",Westfield,10,16.32,163.2,NULL,NULL,NULL,NULL
NJ-2014-156601,"Sean Weaver",Westfield,6,12.42,74.52,NULL,NULL,NULL,NULL
MA-2016-162138,"Deborah Wells",Lowell,1,12.42,12.42,NULL,NULL,NULL,NULL
NJ-2017-153339,"Sandra Hicks",Troy,1,16.32,16.32,NULL,NULL,NULL,NULL
NJ-2016-141544,"Gloria Harper",Troy,9,53.35,480.15,NULL,NULL,NULL,NULL
CA-2016-150147,"Beverly Jacobs","Los Angeles",5,17.83,89.15,NULL,NULL,NULL,NULL
CT-2015-137946,"Sandra Meyer",Fairfield,9,12.42,111.78,NULL,NULL,NULL,NULL
OR-2014-129924,"Sharon Rice",Portland,6,53.35,320.1,NULL,NULL,NULL,NULL
MA-2015-128167,"Harold Schmidt",Lowell,2,53.35,106.7,NULL,NULL,NULL,NULL
OR-2014-122336,"Sharon Wagner",Portland,8,53.35,426.8,NULL,NULL,NULL,NULL
